NOM_COMUN,TIPO_VEGET,ESTADO_INICIAL,FECHA,LADO_RED,DAP_ESTIM,LONG_INTER,TIPO_INTER,NIVEL_RIES,CIRCUITO_TRAMO,NODO_1,NODO_2,LONGITUD,LATITUD,DEP,MUN
NIGUITO,Arbol aislado,Inspeccionado,2024-01-23,Encima,0,20,Tala,Bajo,CHA23L16,C14003,C14004,-75.61658642,4.99377348,CALDAS,CHINCHINÁ
OTROS,Arbol aislado,Inspeccionado,2024-01-23,Debajo,40,15,Tala,Bajo,CHA23L16,C14003,C14004,-75.61633698,4.993845374,CALDAS,CHINCHINÁ
GUAYABO,Frutales,Inspeccionado,2024-01-23,Debajo,50,10,Tala,Bajo,CHA23L16,C14004,C14005,-75.61692009,4.993519753,CALDAS,CHINCHINÁ
ARBOLOCO,Arbol aislado,Inspeccionado,2024-01-23,Debajo,50,15,Tala,Bajo,CHA23L16,C14262,C14571,-75.61704953,4.986650664,CALDAS,CHINCHINÁ
ARRAYAN,Cerca Viva,Ejecutado,2024-01-25,Derecha,6,6,Poda,Alto,SNA23L12,E42029,E42030,-75.0228093,5.418926574,CALDAS,SAMANÁ
GUAYABO,Frutales,Ejecutado,2024-01-25,Debajo,8,5,Poda,Alto,SNA23L12,E42034,E42035,-75.025235,5.406924,CALDAS,SAMANÁ
NN,Rastrojo,Ejecutado,2024-01-25,Debajo,5,15,poda,Alto,SNA23L12,E42035,E42036,-75.02642045,5.403800342,CALDAS,SAMANÁ
NN,Plantacion,Ejecutado,2024-01-24,Debajo,3,6,Poda,Alto,SNA23L12,E42018,E42019,-75.01813074,5.420099833,CALDAS,SAMANÁ
YARUMO BLANCO,Arbol aislado,Ejecutado,2024-01-24,Debajo,8,5,Poda,Alto,SNA23L12,E42018,E42019,-75.018349,5.420287,CALDAS,SAMANÁ
MATARRATON,Cerca Viva,Ejecutado,2024-01-26,Debajo,35,35,Poda,Medio,AMR23L14,C31194,C31859,-75.66840677,5.062452549,CALDAS,PALESTINA
GUAYABO,Frutales,Ejecutado,2024-01-23,Encima,32,5,Poda,Alto,RSA23L12,W24142,W24143,-75.77123385,5.157981652,CALDAS,RISARALDA
CORDONCILLO,Rastrojo,Ejecutado,2024-01-23,Debajo,10,8,Rocería,Bajo,AZU23L12,N20005,N20706,-75.49174575,5.275588576,CALDAS,ARANZAZU
GUADUA,Guadual,Ejecutado,2024-01-29,Izquierda,9,12,Tala,Alto,SNA23L15,E41816,E41817,-74.91491847,5.522130729,CALDAS,SAMANÁ
NN,Rastrojo,Ejecutado,2024-01-25,Derecha,15,5,Poda,Alto,SNA23L15,E41428,E41431,-74.97966394,5.401365137,CALDAS,SAMANÁ
YARUMO BLANCO,Bosque natural,Ejecutado,2024-01-25,Izquierda,18,14,Tala,Alto,SNA23L15,E41425,E41427,-74.98377704,5.405032889,CALDAS,SAMANÁ
ALISO,Arbol aislado,Ejecutado,2024-01-25,Izquierda,24,5,Poda,Alto,SNA23L15,E41425,E41427,-74.98377684,5.405031366,CALDAS,SAMANÁ
CEDRO,Arbol aislado,Ejecutado,2024-01-25,Derecha,20,6,Poda,Alto,PSV23L13,E62353,E62355,-75.13063313,5.537573473,CALDAS,PENSILVANIA
MATARRATON,Cerca Viva,Ejecutado,2024-01-26,Debajo,20,5,Poda,Medio,AZU23L13,N21169,N21901,-75.5400251,5.290180355,CALDAS,FILADELFIA
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-26,Debajo,30,6,Poda,Alto,AZU23L13,B68986,N21901,-75.539986,5.290098,CALDAS,FILADELFIA
AGUACATE,Frutales,Ejecutado,2024-01-26,Debajo,25,6,Poda,Alto,AZU23L13,B68986,N21054,-75.539772,5.289701,CALDAS,FILADELFIA
NOGAL CAFETERO,Arbol aislado,Inspeccionado,2024-01-26,Debajo,20,5,Poda,Bajo,AZU23L13,B68985,B68986,-75.539853,5.289977,CALDAS,FILADELFIA
AGUACATE,Frutales,Ejecutado,2024-01-26,Debajo,35,4,Poda,Alto,AZU23L13,B68986,B68987,-75.540024,5.290007,CALDAS,FILADELFIA
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-26,Debajo,40,8,Poda,Alto,AZU23L13,B68985,B68986,-75.5362888,5.289309292,CALDAS,FILADELFIA
PALMA,Ornamental,Ejecutado,2024-01-24,Izquierda,40,25,Poda,Medio,PSO23L12,M52945,M52948,-75.51239294,5.085175179,CALDAS,MANIZALES
GUAYACAN ROSADO,Arbol aislado,Ejecutado,2024-01-26,Derecha,50,6,Poda,Medio,CHA23L16,C14137,C14138,-75.61516249,4.94538367,CALDAS,CHINCHINÁ
NN,Rastrojo,Ejecutado,2024-01-26,Debajo,5,15,Rocería,Medio,SNA23L12,E42106,E42107,-75.02398259,5.424361704,CALDAS,SAMANÁ
ARRAYAN,Cerca Viva,Ejecutado,2024-01-26,Izquierda,8,5,Poda,Alto,SNA23L12,E42020,E42106,-75.02398013,5.424361715,CALDAS,SAMANÁ
NN,Cerca Viva,Ejecutado,2024-01-26,Derecha,6,6,Poda,Alto,SNA23L12,E42020,E42106,-75.02398032,5.424361664,CALDAS,SAMANÁ
ARRAYAN,Cerca Viva,Ejecutado,2024-01-26,Encima,10,5,Poda,Alto,SNA23L12,E42106,E42107,-75.025699,5.424521,CALDAS,SAMANÁ
NN,Rastrojo,Ejecutado,2024-01-26,Debajo,5,10,Rocería,Alto,SNA23L12,E42015,E42016,-75.01140889,5.417609904,CALDAS,SAMANÁ
OTROS,Bosque natural,Ejecutado,2024-01-26,Debajo,20,12,Poda,Bajo,DON23L12,L11874,L11875,-74.6760366,5.479929884,CALDAS,LA DORADA
MESTIZO,Arbol aislado,Ejecutado,2024-01-30,Ambos Lados,35,4,Poda,Medio,VBO23L13,B62001,W35779,-75.850189,5.061923,CALDAS,SAN JOSÉ
OTROS,Bosque natural,Ejecutado,2024-01-26,Debajo,25,20,Poda,Bajo,DON23L12,L11874,L11875,-74.67601769,5.479970825,CALDAS,LA DORADA
OTROS,Arbol aislado,Ejecutado,2024-01-30,Izquierda,40,8,Poda,Medio,VBO23L13,W35501,W35502,-75.849197,5.06463,CALDAS,SAN JOSÉ
CEDRO,Arbol aislado,Ejecutado,2024-01-30,Izquierda,30,3,Poda,Medio,VBO23L13,W35501,W35502,-75.849197,5.06439,CALDAS,SAN JOSÉ
LECHUDO,Arbol aislado,Inspeccionado,2024-01-30,Izquierda,35,4,Seleccione…,Bajo,VBO23L13,B62001,W35502,-75.8498,5.06318,CALDAS,SAN JOSÉ
GUASIMO,Bosque natural,Ejecutado,2024-01-26,Debajo,13,30,Poda,Bajo,DON23L12,L11872,L11878,-74.6762725,5.47919544,CALDAS,LA DORADA
GUASIMO,Bosque natural,Ejecutado,2024-01-26,Debajo,25,12,Poda,Medio,DON23L12,L11117,L11872,-74.67685395,5.479203965,CALDAS,LA DORADA
PALMA REAL,Bosque natural,Ejecutado,2024-01-25,Debajo,40,10,Poda,Medio,DON23L12,L10049,L10052,-74.6815065,5.472419286,CALDAS,LA DORADA
LECHUDO,Arbol aislado,Ejecutado,2024-01-30,Izquierda,35,3,Poda,Medio,VBO23L13,W35505,W35506,-75.850502,5.05919,CALDAS,SAN JOSÉ
NN,Cerca Viva,Inspeccionado,2024-01-30,Ambos Lados,30,4,Seleccione…,Bajo,VBO23L13,W35505,W35506,-75.850601,5.05861,CALDAS,SAN JOSÉ
NN,Cerca Viva,Ejecutado,2024-01-30,Ambos Lados,18,4,Poda,Medio,VBO23L13,W35506,W35507,-75.8508,5.05811,CALDAS,SAN JOSÉ
PALMA COROZO,Bosque natural,Ejecutado,2024-01-25,Ambos Lados,50,9,Poda,Medio,DON23L12,L10053,L10054,-74.68136459,5.471378115,CALDAS,LA DORADA
GUASIMO,Bosque natural,Ejecutado,2024-01-26,Debajo,15,15,Poda,Medio,DON23L12,L11117,L11872,-74.67664267,5.47916274,CALDAS,LA DORADA
DINDE,Bosque natural,Ejecutado,2024-01-26,Debajo,25,15,Poda,Medio,DON23L12,L11117,L11872,-74.67664647,5.479163063,CALDAS,LA DORADA
OTROS,Arbol aislado,Inspeccionado,2024-01-30,Debajo,8,0,Seleccione…,Bajo,VBO23L13,W35506,W35507,-75.851799,5.05782,CALDAS,SAN JOSÉ
MATARRATON,Cerca Viva,Ejecutado,2024-01-30,Debajo,20,4,Poda,Alto,VBO23L13,W35507,W35531,-75.852798,5.05752,CALDAS,SAN JOSÉ
ACACIA,Bosque natural,Ejecutado,2024-01-26,Derecha,40,9,Poda,Alto,DON23L12,L11116,L11117,-74.677256,5.479304,CALDAS,LA DORADA
OTROS,Arbol aislado,Ejecutado,2024-01-23,Ambos Lados,25,3,Poda,Alto,RSA23L13,W25061,W25061,-75.76841123,5.163150499,CALDAS,RISARALDA
URAPAN,Arbol aislado,Ejecutado,2024-01-29,Izquierda,100,7,Rocería,Medio,PSO23L12,M52605,M52606,-75.50904006,5.074864014,CALDAS,MANIZALES
AGUACATE,Frutales,Ejecutado,2024-01-24,Ambos Lados,35,15,Poda,Alto,PSV23L13,E62356,E62359,-75.13034391,5.545687152,CALDAS,PENSILVANIA
ACHIOTE,Bosque natural,Ejecutado,2024-01-26,Debajo,15,20,Tala,Alto,SNA23L12,E42015,E42016,-75.008863,5.41822,CALDAS,SAMANÁ
URAPAN,Arbol aislado,Ejecutado,2024-01-29,Izquierda,12,6,Poda,Medio,IRR30L12,B26011,B26012,-75.64576978,5.123905474,CALDAS,MANIZALES
URAPAN,Arbol aislado,Ejecutado,2024-01-29,Izquierda,9,6,Poda,Medio,IRR30L12,B26010,B26011,-75.64594622,5.120873942,CALDAS,PALESTINA
NOGAL CAFETERO,Bosque natural,Ejecutado,2024-01-25,Izquierda,35,15,Poda,Bajo,CHI23L18,M32180,M32181,-75.559692,5.104135,CALDAS,MANIZALES
GUADUILLA,Guadual,Ejecutado,2024-01-26,Debajo,0,5,Poda,Medio,CHI23L18,M32186,M32235,-75.561412,5.107848,CALDAS,MANIZALES
NOGAL CAFETERO,Arbol aislado,Inspeccionado,2024-01-26,Izquierda,45,10,Poda,Medio,CHI23L18,M32176,M32178,-75.558036,5.0996,CALDAS,MANIZALES
CHEFLERA,Ornamental,Ejecutado,2024-01-26,Ambos Lados,5,15,Rocería,Bajo,CHI23L18,M32011,M32224,-75.561305,5.105459,CALDAS,MANIZALES
GUADUA,Guadual,Ejecutado,2024-01-29,Ambos Lados,20,8,Tala,Alto,RSA23L12,W24111,W24182,-75.76224779,5.169944867,CALDAS,RISARALDA
NN,Separador Vial,Ejecutado,2024-01-29,Derecha,303,30,Poda,Alto,PSO23L12,M52605,M52606,-75.50892569,5.074770251,CALDAS,MANIZALES
NOGAL CAFETERO,Cafe/sombrio,Ejecutado,2024-01-25,Debajo,25,3,Poda,Medio,CHI23L18,M32180,M32181,-75.559685,5.104266,CALDAS,MANIZALES
OTROS,Arbol aislado,Ejecutado,2024-01-25,Debajo,35,15,Poda,Bajo,CHI23L18,M32173,M32175,-75.557032,5.09698,CALDAS,MANIZALES
FICUS,Arbol aislado,Ejecutado,2024-01-26,Izquierda,38,8,Poda,Medio,MGT23L14,W22504,W22869,-75.714428,5.121751,CALDAS,RISARALDA
QUIEBRABARRIGO,Arbol aislado,Inspeccionado,2024-01-29,Debajo,30,8,Poda,Alto,PSO23L12,M52136,M52137,-75.50980997,5.076345028,CALDAS,MANIZALES
OTROS,Arbol aislado,Inspeccionado,2024-01-29,Izquierda,40,20,Poda,Alto,PSO23L12,M52136,M52137,-75.51026884,5.076679669,CALDAS,MANIZALES
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-26,Derecha,0,35,Poda,Alto,CHI23L18,M32175,M32176,-75.557879,5.099204,CALDAS,MANIZALES
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-25,Izquierda,40,35,Poda,Bajo,CHI23L18,M32178,M32180,-75.559392,5.102754,CALDAS,MANIZALES
URAPAN,Arbol aislado,Ejecutado,2024-01-30,Izquierda,10,6,Poda,Medio,IRR30L12,B26011,B26012,-75.64575385,5.124152938,CALDAS,MANIZALES
URAPAN,Arbol aislado,Ejecutado,2024-01-30,Izquierda,15,9,Poda,Medio,IRR30L12,B26011,B26012,-75.6457527,5.124201054,CALDAS,MANIZALES
GUADUA,Guadual,Ejecutado,2024-01-29,Ambos Lados,4,12,Tala,Medio,IRR30L12,B26010,B26044,-75.64596655,5.120528419,CALDAS,PALESTINA
NOGAL CAFETERO,Cafe/sombrio,Ejecutado,2024-01-25,Debajo,10,20,Poda,Bajo,CHI23L18,M32176,M32178,-75.559253,5.102289,CALDAS,MANIZALES
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-25,Derecha,26,15,Poda,Bajo,CHI23L18,M32173,M32175,-75.557219,5.097248,CALDAS,MANIZALES
TABAQUILLO,Arbol aislado,Ejecutado,2024-01-26,Derecha,32,8,Poda,Bajo,MGT23L14,W22503,W22869,-75.714221,5.121868,CALDAS,RISARALDA
NN,Ornamental,Ejecutado,2024-01-26,Derecha,38,0,Poda,Medio,MGT23L14,W22503,W22869,-75.714071,5.121965,CALDAS,RISARALDA
QUIEBRABARRIGO,Cerca Viva,Inspeccionado,2024-01-29,Izquierda,20,3,Poda,Medio,AGU23L14,N42209,N42210,-75.438242,5.648071,CALDAS,AGUADAS
PLATANO,Huerto,Inspeccionado,2024-01-29,Debajo,20,8,Poda,Alto,AGU23L14,N42206,N42220,-75.439559,5.644934,CALDAS,AGUADAS
NN,Separador Vial,Ejecutado,2024-01-29,Derecha,45,25,Poda,Medio,PSO23L12,M52605,M52606,-75.50851992,5.074446849,CALDAS,MANIZALES
PLATANO,Huerto,Ejecutado,2024-01-29,Debajo,20,15,Poda,Alto,AGU23L14,N42206,N42220,-75.439676,5.645047,CALDAS,AGUADAS
ARBOL DE LA CRUZ,Arbol aislado,Ejecutado,2024-01-29,Ambos Lados,30,4,Poda,Bajo,AGU23L14,N42217,N42226,-75.435699,5.652403,CALDAS,AGUADAS
MATARRATON,Cerca Viva,Ejecutado,2024-01-29,Ambos Lados,20,5,Poda,Medio,AGU23L14,N42216,N42232,-75.435512,5.653694,CALDAS,AGUADAS
URAPAN,Arbol aislado,Ejecutado,2024-01-29,Izquierda,8,6,Poda,Medio,IRR30L12,B26010,B26044,-75.64594621,5.120873815,CALDAS,PALESTINA
ARBOLOCO,Arbol aislado,Ejecutado,2024-01-29,Ambos Lados,25,15,Poda,Medio,PSO23L12,M52107,M52108,-75.51518158,5.081472771,CALDAS,MANIZALES
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-01-25,Ambos Lados,28,25,Poda,Bajo,CHI23L18,M32175,M32176,-75.557384,5.097592,CALDAS,MANIZALES
GUAMO,Cafe/sombrio,Ejecutado,2024-01-25,Izquierda,10,25,Poda,Bajo,CHI23L18,M32173,M32175,-75.557303,5.097383,CALDAS,MANIZALES
NN,Rastrojo,Ejecutado,2024-01-29,Debajo,10,10,Rocería,Medio,AGU23L14,N42204,N42205,-75.440277,5.644623,CALDAS,AGUADAS
EUCALIPTO,Arbol aislado,Ejecutado,2024-01-29,Ambos Lados,60,8,Poda,Alto,AGU23L14,N42215,N42528,-75.435615,5.653652,CALDAS,AGUADAS
URAPAN,Arbol aislado,Ejecutado,2024-01-30,Derecha,12,8,Poda,Medio,IRR30L12,B26011,B26012,-75.64575284,5.124187002,CALDAS,MANIZALES
PALMA,Ornamental,Ejecutado,2024-01-24,Ambos Lados,50,12,Poda,Medio,PSO23L12,M52936,M52937,-75.51394549,5.084724472,CALDAS,MANIZALES
PALMA,Ornamental,Ejecutado,2024-01-24,Ambos Lados,40,20,Poda,Medio,PSO23L12,M52937,M52938,-75.5140046,5.085172958,CALDAS,MANIZALES
SAUCE,Cerca Viva,Ejecutado,2024-01-25,Debajo,35,30,Poda,Alto,MTO23L18,M12134,M12135,-75.528249,5.058741,CALDAS,MANIZALES
PALMA,Ornamental,Ejecutado,2024-01-26,Derecha,40,12,Poda,Alto,PSV23L13,E62317,E62349,-75.13342019,5.534109019,CALDAS,PENSILVANIA
ALMENDRO,Arbol aislado,Ejecutado,2024-01-26,Debajo,30,12,Poda,Alto,PSV23L13,E62317,E62349,-75.13325709,5.534324591,CALDAS,PENSILVANIA
AGUACATE,Frutales,Ejecutado,2024-01-26,Debajo,25,3,Poda,Bajo,PSV23L13,E62351,E62352,-75.13160207,5.535964807,CALDAS,PENSILVANIA
ALMENDRO,Arbol aislado,Ejecutado,2024-01-26,Izquierda,28,6,Poda,Alto,PSV23L13,E62317,E62349,-75.13338791,5.534150149,CALDAS,PENSILVANIA
MATARRATON,Cerca Viva,Ejecutado,2024-01-23,Ambos Lados,25,6,Poda,Medio,VBO23L12,W34001,W34002,-75.849132,5.065109,CALDAS,SAN JOSÉ
URAPAN,Arbol aislado,Inspeccionado,2024-01-23,Derecha,25,0,Seleccione…,Bajo,VBO23L12,W34018,W34149,-75.866507,5.067295,CALDAS,VITERBO
EUCALIPTO,Arbol aislado,Ejecutado,2024-01-25,Ambos Lados,35,30,Poda,Alto,MTO23L18,M12146,M12147,-75.527372,5.0625,CALDAS,MANIZALES
NN,Separador Vial,Ejecutado,2024-01-25,Ambos Lados,20,30,Tala,Bajo,MTO23L18,M12147,M12148,-75.527478,5.062617,CALDAS,MANIZALES
GUADUA,Guadual,Pendiente Apagon,2024-01-24,Debajo,12,8,Tala,Alto,PSV23L13,E62356,E62359,-75.13034113,5.54540963,CALDAS,PENSILVANIA
TACHUELO,Arbol aislado,Pendiente Apagon,2024-01-24,Izquierda,28,8,Poda,Alto,PSV23L13,E62359,E62360,-75.13037403,5.546987098,CALDAS,PENSILVANIA
PALMA,Ornamental,Ejecutado,2024-01-24,Izquierda,25,10,Poda,Medio,PSO23L12,M52929,M52958,-75.51294962,5.082399167,CALDAS,MANIZALES
PALMA,Ornamental,Ejecutado,2024-01-24,Ambos Lados,40,12,Poda,Medio,PSO23L12,M52943,M52960,-75.51307363,5.085126804,CALDAS,MANIZALES
AGUACATE,Frutales,Ejecutado,2024-01-24,Debajo,30,4,Poda,Alto,PSV23L13,E62356,E62359,-75.13032759,5.542902706,CALDAS,PENSILVANIA
URAPAN,Arbol aislado,Inspeccionado,2024-01-23,Izquierda,30,0,Poda,Bajo,VBO23L12,W34015,W34110,-75.874394,5.057945,CALDAS,VITERBO
SAMAN,Arbol aislado,Ejecutado,2024-01-23,Debajo,25,10,Poda,Medio,VBO23L12,W34072,W34074,-75.870463,5.06219,CALDAS,VITERBO
NN,Cerca Viva,Ejecutado,2024-01-23,Debajo,12,8,Poda,Medio,AZU23L12,N24078,N24093,-75.491393,5.268485,CALDAS,ARANZAZU
NN,Cerca Viva,Ejecutado,2024-01-24,Debajo,28,3,Poda,Alto,PSV23L13,E62359,E62360,-75.13040807,5.547183267,CALDAS,PENSILVANIA
PALMA,Ornamental,Ejecutado,2024-01-24,Izquierda,50,10,Poda,Medio,PSO23L12,M52929,M52930,-75.51329192,5.082562598,CALDAS,MANIZALES
CAMARGO,Bosque natural,Ejecutado,2024-01-25,Debajo,30,3,Rocería,Alto,MTO23L18,M12135,M12142,-75.528045,5.059252,CALDAS,MANIZALES
ALISO,Bosque natural secundario,Inspeccionado,2024-01-23,Ambos Lados,35,0,Seleccione…,Bajo,VBO23L12,W34012,W34013,-75.861618,5.067209,CALDAS,VITERBO
TAPIRIRA,Arbol aislado,Ejecutado,2024-01-23,Debajo,30,4,Tala,Alto,VBO23L12,W34016,W37172,-75.863003,5.067067,CALDAS,VITERBO
GUADUA,Guadual,Ejecutado,2024-01-23,Derecha,9,5,Tala,Medio,VBO23L12,W34007,W34009,-75.85735815,5.06648153,CALDAS,VITERBO
PAYANDE,Arbol aislado,Ejecutado,2024-01-23,Debajo,20,6,Tala,Alto,VBO23L12,W34008,W34074,-75.87051898,5.061853608,CALDAS,VITERBO
RINON,Arbol aislado,Ejecutado,2024-01-23,Debajo,20,3,Poda,Medio,VBO23L12,W34008,W34074,-75.87060776,5.061557925,CALDAS,VITERBO
NN,Cerca Viva,Ejecutado,2024-01-23,Debajo,20,8,Poda,Medio,AZU23L13,B68980,B68981,-75.5155627,5.284061498,CALDAS,FILADELFIA
MESTIZO,Bosque natural,Ejecutado,2024-01-23,Debajo,13,8,Poda,Medio,AZU23L13,B68982,N21144,-75.5249024,5.287128988,CALDAS,FILADELFIA
MESTIZO,Arbol aislado,Ejecutado,2024-01-23,Debajo,20,8,Poda,Medio,AZU23L13,B68979,B68980,-75.51554368,5.284054051,CALDAS,FILADELFIA
YARUMO,Arbol aislado,Ejecutado,2024-01-23,Debajo,12,6,Tala,Alto,SNA23L12,E42007,E42347,-75.00687825,5.418546744,CALDAS,SAMANÁ
NN,Cerca Viva,Ejecutado,2024-01-23,Debajo,12,5,Tala,Alto,SNA23L12,E42005,E42006,-75.00667551,5.41838229,CALDAS,SAMANÁ
GUASIMO,Arbol aislado,Ejecutado,2024-01-23,Ambos Lados,35,12,Poda,Alto,DON23L12,L10049,L10050,-74.68141321,5.473314048,CALDAS,LA DORADA
FICUS,Arbol aislado,Pendiente Apagon,2024-01-23,Izquierda,85,20,Poda,Alto,AMR23L14,C31117,C31129,-75.664478,5.072433,CALDAS,PALESTINA
MATARRATON,Arbol aislado,Ejecutado,2024-01-23,Debajo,40,12,Poda,Medio,AMR23L14,C31129,C31130,-75.665713,5.072469,CALDAS,PALESTINA
GUAYACAN,Arbol aislado,Inspeccionado,2024-01-23,Derecha,85,15,Poda,Medio,AMR23L14,C31130,C31131,-75.666207,5.072606,CALDAS,PALESTINA
MATARRATON,Cerca Viva,Pendiente Apagon,2024-01-23,Ambos Lados,45,20,Poda,Alto,AMR23L14,C31117,C31129,-75.664587,5.072393,CALDAS,PALESTINA
SWINGLEA,Cerca Viva,Ejecutado,2024-01-23,Ambos Lados,12,10,Poda,Medio,AMR23L14,C31117,C31129,-75.664694,5.072345,CALDAS,PALESTINA
GUAYACAN,Arbol aislado,Inspeccionado,2024-01-23,Izquierda,20,5,Poda,Medio,AMR23L14,C31132,C31134,-75.667343,5.073027,CALDAS,PALESTINA
FICUS,Arbol aislado,Pendiente Apagon,2024-01-23,Izquierda,85,20,Poda,Alto,AMR23L14,C31117,C31129,-75.664478,5.072433,CALDAS,PALESTINA
MATARRATON,Cerca Viva,Ejecutado,2024-01-24,Ambos Lados,14,5,Poda,Medio,VBO23L12,W34689,W34691,-75.877537,5.051471,CALDAS,VITERBO
ARRAYAN,Cerca Viva,Ejecutado,2024-01-23,Debajo,8,6,Poda,Alto,SNA23L12,E42005,E42006,-75.006688,5.418414,CALDAS,SAMANÁ
MATARRATON,Arbol aislado,Ejecutado,2024-01-23,Ambos Lados,35,10,Poda,Medio,AMR23L14,C31117,C31129,-75.66424,5.072522,CALDAS,PALESTINA
CAMARGO,Rastrojo,Ejecutado,2024-01-23,Debajo,15,6,Poda,Alto,AZU23L13,B68978,B68979,-75.505279,5.280432,CALDAS,ARANZAZU
CIPRES,Cerca Viva,Ejecutado,2024-01-23,Izquierda,8,6,Poda,Alto,SNA23L12,E42017,E42018,-75.017664,5.419848,CALDAS,SAMANÁ
FICUS,Cerca Viva,Ejecutado,2024-01-23,Izquierda,15,3,Poda,Alto,AZU23L13,N21040,N21041,-75.509653,5.272195,CALDAS,ARANZAZU
URAPAN,Arbol aislado,Inspeccionado,2024-01-23,Debajo,35,3,Poda,Medio,AZU23L13,B68974,B68975,-75.493874,5.277831,CALDAS,ARANZAZU
GUAMO,Arbol aislado,Inspeccionado,2024-01-23,Derecha,35,0,Poda,Bajo,AZU23L13,N21036,N21595,-75.511549,5.282581,CALDAS,FILADELFIA
URAPAN,Arbol aislado,Pendiente Apagon,2024-01-23,Ambos Lados,60,0,Poda,Alto,RSA23L12,W24083,W24089,-75.771848,5.174535,CALDAS,RISARALDA
SWINGLEA,Cerca Viva,Ejecutado,2024-01-24,Ambos Lados,16,6,Poda,Medio,VBO23L12,W34688,W34689,-75.876439,5.052507,CALDAS,VITERBO
GUAMO,Arbol aislado,Ejecutado,2024-01-24,Derecha,60,9,Poda,Alto,VBO23L12,W34680,W34681,-75.874793,5.055386,CALDAS,VITERBO
MATARRATON,Cerca Viva,Ejecutado,2024-01-24,Derecha,25,7,Poda,Medio,VBO23L12,W34680,W34681,-75.874859,5.055227,CALDAS,VITERBO
